108869,, 2026-feb-3 ,,,,,,,236257,,,,,,,,,221033,,,,,,,,,132843,,,,,,,,,279664,,,,,,,,,210217,,,,,,,,,132150,,,,,,,,,277614,,,,,,,,,123323,,,,,,,,,221645,,,,,,,,,218071,,,,,,,,,218533,,,,,,,,,274045,,,,,,,,,235126,,,,,,,,,305788,,,,,,,
#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,,,#NAME?,,,,,,,
Apollo Hospitals Enterprise Ltd.,,,,,,,,,Artemis Medicare Services Ltd.,,,,,,,,,Aster DM Healthcare Ltd.,,,,,,,,,Fortis Healthcare Ltd.,,,,,,,,,Global Health Ltd.,,,,,,,,,Healthcare Global Enterprises Ltd.,,,,,,,,,Indraprastha Medical Corporation Ltd.,,,,,,,,,Jupiter Life Line Hospitals Ltd.,,,,,,,,,Kovai Medical Center & Hospital Ltd.,,,,,,,,,Krishna Institute of Medical Sciences Ltd,,,,,,,,,Max Healthcare Institute Ltd.,,,,,,,,,Narayana Hrudayalaya Ltd.,,,,,,,,,Rainbow Children's Medicare Ltd.,,,,,,,,,Shalby Ltd.,,,,,,,,,Yatharth Hospital & Trauma Care Services Ltd.,,,,,,,
DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, ADJCLOSE , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD,,DATE, EV_EBIDTA_CONS , AVG , SD+1 , SD+2 ,SD-1,SD-2,SD
01-Apr-2022, 29.4 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,01-Apr-2022, 10.6 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,01-Apr-2022, 7.3 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,01-Apr-2022, 20.1 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,16-Nov-2022, 20.8 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,01-Apr-2022, 16.1 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,01-Apr-2022, 4.3 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,18-Sep-2023, 33.8 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,01-Apr-2022," 1,619.2 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,01-Apr-2022, 20.4 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,01-Apr-2022, 32.0 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,01-Apr-2022, 22.5 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,10-May-2022, 13.5 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,01-Apr-2022, 10.1 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,07-Aug-2023, 20.3 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
04-Apr-2022, 29.8 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,04-Apr-2022, 10.4 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,04-Apr-2022, 7.2 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,04-Apr-2022, 19.5 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,17-Nov-2022, 20.9 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,04-Apr-2022, 16.3 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,04-Apr-2022, 4.4 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,20-Sep-2023, 33.4 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,04-Apr-2022," 1,651.3 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,04-Apr-2022, 20.6 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,04-Apr-2022, 32.3 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,04-Apr-2022, 22.8 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,11-May-2022, 14.6 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,04-Apr-2022, 10.9 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,08-Aug-2023, 21.1 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
05-Apr-2022, 29.7 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,05-Apr-2022, 10.6 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,05-Apr-2022, 7.3 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,05-Apr-2022, 19.5 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,18-Nov-2022, 20.7 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,05-Apr-2022, 16.3 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,05-Apr-2022, 4.5 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,21-Sep-2023, 33.1 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,05-Apr-2022," 1,682.0 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,05-Apr-2022, 20.7 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,05-Apr-2022, 33.7 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,05-Apr-2022, 22.4 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,12-May-2022, 13.9 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,05-Apr-2022, 10.8 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,09-Aug-2023, 20.8 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
06-Apr-2022, 29.4 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,06-Apr-2022, 10.7 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,06-Apr-2022, 7.4 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,06-Apr-2022, 19.6 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,21-Nov-2022, 21.5 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,06-Apr-2022, 16.7 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,06-Apr-2022, 4.7 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,22-Sep-2023, 33.5 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,06-Apr-2022," 1,706.1 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,06-Apr-2022, 21.2 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,06-Apr-2022, 31.6 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,06-Apr-2022, 22.2 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,13-May-2022, 13.7 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,06-Apr-2022, 11.0 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,10-Aug-2023, 20.2 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
07-Apr-2022, 29.6 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,07-Apr-2022, 10.5 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,07-Apr-2022, 7.2 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,07-Apr-2022, 19.2 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,22-Nov-2022, 21.8 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,07-Apr-2022, 17.0 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,07-Apr-2022, 4.6 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,25-Sep-2023, 33.9 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,07-Apr-2022," 1,709.1 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,07-Apr-2022, 20.7 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,07-Apr-2022, 32.4 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,07-Apr-2022, 22.0 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,16-May-2022, 13.1 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,07-Apr-2022, 10.8 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,11-Aug-2023, 20.1 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
08-Apr-2022, 30.0 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,08-Apr-2022, 10.9 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,08-Apr-2022, 7.3 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,08-Apr-2022, 19.2 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,23-Nov-2022, 22.5 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,08-Apr-2022, 16.9 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,08-Apr-2022, 4.6 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,26-Sep-2023, 34.6 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,08-Apr-2022," 1,701.7 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,08-Apr-2022, 21.1 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,08-Apr-2022, 32.9 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,08-Apr-2022, 22.2 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,17-May-2022, 12.6 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,08-Apr-2022, 11.0 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,14-Aug-2023, 20.5 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
11-Apr-2022, 30.4 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,11-Apr-2022, 10.6 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,11-Apr-2022, 7.3 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,11-Apr-2022, 19.5 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,24-Nov-2022, 23.0 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,11-Apr-2022, 17.1 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,11-Apr-2022, 4.7 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,27-Sep-2023, 34.3 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,11-Apr-2022," 1,705.2 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,11-Apr-2022, 20.8 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,11-Apr-2022, 33.8 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,11-Apr-2022, 22.5 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,18-May-2022, 13.3 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,11-Apr-2022, 11.0 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,16-Aug-2023, 19.8 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
12-Apr-2022, 30.1 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,12-Apr-2022, 10.4 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,12-Apr-2022, 7.2 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,12-Apr-2022, 19.5 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,25-Nov-2022, 22.6 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,12-Apr-2022, 16.9 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,12-Apr-2022, 4.6 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,28-Sep-2023, 34.6 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,12-Apr-2022," 1,772.4 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,12-Apr-2022, 21.3 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,12-Apr-2022, 33.7 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,12-Apr-2022, 22.2 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,19-May-2022, 13.6 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,12-Apr-2022, 11.1 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,17-Aug-2023, 19.1 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
13-Apr-2022, 30.9 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,13-Apr-2022, 10.4 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,13-Apr-2022, 7.1 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,13-Apr-2022, 19.1 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,28-Nov-2022, 23.5 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,13-Apr-2022, 17.5 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,13-Apr-2022, 4.7 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,29-Sep-2023, 33.8 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,13-Apr-2022," 1,723.2 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,13-Apr-2022, 20.9 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,13-Apr-2022, 33.9 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,13-Apr-2022, 21.9 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,20-May-2022, 14.4 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,13-Apr-2022, 11.2 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,18-Aug-2023, 20.7 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
18-Apr-2022, 29.7 , 32.8 , 36.4 , 40.0 , 29.19 , 25.58 , 3.6 ,,18-Apr-2022, 10.4 , 17.7 , 22.5 , 27.4 , 12.77 , 7.88 , 4.9 ,,18-Apr-2022, 6.9 , 23.5 , 34.2 , 44.9 , 12.81 , 2.11 , 10.7 ,,18-Apr-2022, 19.2 , 26.6 , 33.8 , 40.9 , 19.38 , 12.19 , 7.2 ,,29-Nov-2022, 23.2 , 30.7 , 36.7 , 42.7 , 24.74 , 18.76 , 6.0 ,,18-Apr-2022, 17.1 , 17.1 , 20.0 , 23.0 , 14.10 , 11.15 , 3.0 ,,18-Apr-2022, 4.7 , 9.4 , 14.1 , 18.7 , 4.81 , 0.18 , 4.6 ,,03-Oct-2023, 33.0 , 29.8 , 32.8 , 35.7 , 26.80 , 23.82 , 3.0 ,,18-Apr-2022," 1,712.3 "," 3,784.0 "," 5,575.6 "," 7,367.2 "," 1,992.45 ", 200.88 ," 1,791.6 ",,18-Apr-2022, 20.7 , 26.9 , 33.3 , 39.7 , 20.42 , 13.99 , 6.4 ,,18-Apr-2022, 34.0 , 44.8 , 54.0 , 63.1 , 35.59 , 26.40 , 9.2 ,,18-Apr-2022, 21.8 , 21.6 , 25.3 , 28.9 , 17.94 , 14.28 , 3.7 ,,23-May-2022, 14.0 , 24.1 , 28.6 , 33.1 , 19.65 , 15.18 , 4.5 ,,18-Apr-2022, 11.0 , 14.2 , 17.4 , 20.5 , 11.09 , 7.95 , 3.1 ,,21-Aug-2023, 21.1 , 21.0 , 24.2 , 27.4 , 17.76 , 14.54 , 3.2 
